year,week,publication_date,NOMBRE,variety,quality,size,sale_format,unit,price
2021,5,2021-02-05,frijol tierno,frijol_tierno,,,,kg,1200
2021,5,2021-02-05,hongos frescos,hongos_frescos,,,,kg,1000
2021,5,2021-02-05,huevos,huevos,,,,kg,1135
2021,5,2021-02-05,lechuga americana,lechuga_americana,,,,u,290
2021,5,2021-02-05,limón mesino,limon_mesino,,,,u,190
2021,5,2021-02-05,limón mandarino,limon_mandarino,,,,u,70
2021,5,2021-02-05,manga,manga,,,,kg,810
2021,5,2021-02-05,manga grande cavallini,manga_grande_cavallini,,G,,kg,915
2021,5,2021-02-05,manga grande keitt,manga_grande_keitt,,G,,kg,515
2021,5,2021-02-05,manga grande tommy,manga_grande_tommy,,G,,kg,855
2021,5,2021-02-05,manga pequeña mora,manga_pequena_mora,,P,,kg,
2021,5,2021-02-05,manga pequeña irwin,manga_pequena_irwin,,P,,kg,685
2021,5,2021-02-05,maracuyá,maracuya,,,,kg,1025
2021,5,2021-02-05,mora,mora,,,,kg,1750
2021,5,2021-02-05,naranja,naranja,,,,u,100
2021,5,2021-02-05,ñampí,nampi,,,,kg,650
2021,5,2021-02-05,papa amarilla,papa_amarilla,,,,kg,1170
2021,5,2021-02-05,papa blanca,papa_blanca,1,,,kg,1030
2021,5,2021-02-05,papa blanca,papa_blanca,2,,,kg,865
2021,5,2021-02-05,papaya,papaya,,,,kg,490
2021,5,2021-02-05,pepino,pepino,,,,kg,325
2021,5,2021-02-05,piña,pina,,G,,u,825
2021,5,2021-02-05,piña,pina,,M,,u,635
2021,5,2021-02-05,plátano,platano,,,,u,145
2021,5,2021-02-05,queso tipo turrialba,queso_tipo_turrialba,,,,kg,3200
2021,5,2021-02-05,remolacha,remolacha,,,,u,325
2021,5,2021-02-05,repollo verde,repollo_verde,,,,kg,325
2021,5,2021-02-05,sandía,sandia,,G,,kg,565
2021,5,2021-02-05,tiquisque lila,tiquisque_lila,,,,kg,750
2021,5,2021-02-05,tomate,tomate,1,,,kg,775
2021,5,2021-02-05,tomate,tomate,2,,,kg,470
2021,5,2021-02-05,vainica,vainica,,,,kg,725
2021,5,2021-02-05,yuca,yuca,,,corriente,kg,395
2021,5,2021-02-05,yuca,yuca,,,parafinada,kg,375
2021,5,2021-02-05,zanahoria,zanahoria,1,,,kg,485
2021,5,2021-02-05,zanahoria,zanahoria,2,,,kg,335
2021,5,2021-02-05,zapallo,zapallo,,,,u,465
2021,5,2021-02-05,dulce,dulce,,,,tapa,800
2021,6,2021-02-12,aguacate Hass,aguacate_hass,,,,kg,2265
2021,6,2021-02-12,apio verde,apio_verde,,,,mata,940
2021,6,2021-02-12,ayote sazón,ayote_sazon,,,,kg,520
2021,6,2021-02-12,ayote tierno,ayote_tierno,,,,u,580
2021,6,2021-02-12,banano criollo,banano_criollo,,,,u,45
2021,6,2021-02-12,brócoli,brocoli,,,,kg,1200
2021,6,2021-02-12,camote,camote,,,,kg,585
2021,6,2021-02-12,cebolla blanca,cebolla_blanca,1,,suelta,kg,1705
2021,6,2021-02-12,cebolla blanca,cebolla_blanca,2,,suelta,kg,1525
2021,6,2021-02-12,cebolla blanca,cebolla_blanca,,,trenza,kg,1705
2021,6,2021-02-12,coliflor,coliflor,,,,u,785
2021,6,2021-02-12,coco,coco,,,,u,490
2021,6,2021-02-12,culantro castilla,culantro_castilla,,,,rollo,75
2021,6,2021-02-12,chayote sazón blanco,chayote_sazon_blanco,,,,u,450
2021,6,2021-02-12,chayote tierno criollo,chayote_tierno_criollo,,,,u,325
2021,6,2021-02-12,chayote tierno quelite,chayote_tierno_quelite,,,,u,205
2021,6,2021-02-12,chile dulce,chile_dulce,1,,,u,260
2021,6,2021-02-12,chile dulce,chile_dulce,2,,,u,200
2021,6,2021-02-12,elote,elote,,,,u,155
2021,6,2021-02-12,fresa,fresa,,,,kg,2900
2021,6,2021-02-12,frijol tierno,frijol_tierno,,,,kg,1200
2021,6,2021-02-12,hongos frescos,hongos_frescos,,,,kg,
2021,6,2021-02-12,huevos,huevos,,,,kg,1225
2021,6,2021-02-12,lechuga americana,lechuga_americana,,,,u,250
2021,6,2021-02-12,limón mesino,limon_mesino,,,,u,220
2021,6,2021-02-12,limón mandarino,limon_mandarino,,,,u,70
2021,6,2021-02-12,manga,manga,,,,kg,1015
2021,6,2021-02-12,manga grande cavallini,manga_grande_cavallini,,G,,kg,970
2021,6,2021-02-12,manga grande keitt,manga_grande_keitt,,G,,kg,570
2021,6,2021-02-12,manga grande tommy,manga_grande_tommy,,G,,kg,855
2021,6,2021-02-12,manga pequeña mora,manga_pequena_mora,,P,,kg,855
2021,6,2021-02-12,manga pequeña irwin,manga_pequena_irwin,,P,,kg,
2021,6,2021-02-12,maracuyá,maracuya,,,,kg,900
2021,6,2021-02-12,mora,mora,,,,kg,1775
2021,6,2021-02-12,naranja,naranja,,,,u,95
2021,6,2021-02-12,ñampí,nampi,,,,kg,650
2021,6,2021-02-12,papa amarilla,papa_amarilla,,,,kg,1325
2021,6,2021-02-12,papa blanca,papa_blanca,1,,,kg,1200
2021,6,2021-02-12,papa blanca,papa_blanca,2,,,kg,775
2021,6,2021-02-12,papaya,papaya,,,,kg,500
2021,6,2021-02-12,pepino,pepino,,,,kg,340
2021,6,2021-02-12,piña,pina,,G,,u,820
2021,6,2021-02-12,piña,pina,,M,,u,630
2021,6,2021-02-12,plátano,platano,,,,u,165
2021,6,2021-02-12,queso tipo turrialba,queso_tipo_turrialba,,,,kg,2875
2021,6,2021-02-12,remolacha,remolacha,,,,u,305
2021,6,2021-02-12,repollo verde,repollo_verde,,,,kg,430
2021,6,2021-02-12,sandía,sandia,,G,,kg,530
2021,6,2021-02-12,tiquisque lila,tiquisque_lila,,,,kg,775
2021,6,2021-02-12,tomate,tomate,1,,,kg,635
2021,6,2021-02-12,tomate,tomate,2,,,kg,480
2021,6,2021-02-12,vainica,vainica,,,,kg,745
2021,6,2021-02-12,yuca,yuca,,,corriente,kg,325
2021,6,2021-02-12,yuca,yuca,,,parafinada,kg,335
2021,6,2021-02-12,zanahoria,zanahoria,1,,,kg,495
2021,6,2021-02-12,zanahoria,zanahoria,2,,,kg,375
2021,6,2021-02-12,zapallo,zapallo,,,,u,415
2021,6,2021-02-12,dulce,dulce,,,,tapa,800
2021,6,2021-02-12,zuquini,zuquini,,,,u,
2021,7,2021-02-19,aguacate Hass,aguacate_hass,,,,kg,2155
2021,7,2021-02-19,apio verde,apio_verde,,,,mata,995
2021,7,2021-02-19,ayote sazón,ayote_sazon,,,,kg,545
